dest_ip,dest_port,country_code
161.97.164.142,3128,DE
45.22.209.157,8888,US
170.106.116.169,17981,US
43.153.8.65,13001,US
23.122.184.9,8888,US
43.153.103.42,13001,US
170.106.181.112,13001,US
79.127.255.66,3128,US
43.153.106.210,13001,US
99.20.24.9,8888,US
43.153.34.75,13001,US
170.106.172.59,13001,US
43.130.56.110,13001,US
43.135.174.65,13001,US
170.106.136.15,13001,US
43.153.33.238,13001,US
43.130.2.77,13001,US
43.159.133.199,13001,US
43.135.147.227,13001,US
43.135.166.98,13001,US
43.153.94.8,13001,US
34.48.171.130,33080,US
43.153.76.64,13001,US
5.75.156.208,3128,DE
