dest_ip,dest_port,country_code,protocol
165.225.72.38,10089,DE,http
161.35.70.249,8080,DE,http
165.225.72.38,10497,DE,http
37.60.230.30,8888,DE,http
23.237.210.82,80,US,http
165.225.72.38,11172,DE,http
165.225.72.38,11659,DE,http
165.225.72.38,11527,DE,http
165.225.72.38,10004,DE,http
198.199.86.11,3128,US,http
51.81.245.3,17981,US,http
165.225.72.38,10727,DE,http
165.225.72.38,11657,DE,http
165.225.72.38,10847,DE,http
37.60.230.27,8888,DE,http
13.58.225.2,3128,US,http
165.225.72.38,11023,DE,http
165.225.72.38,11716,DE,http
138.68.60.8,3128,US,http
165.225.72.38,11259,DE,http
165.225.72.38,10013,DE,http
37.60.230.56,8888,DE,http
47.251.43.115,33333,US,http
165.225.72.38,10003,DE,http
