dest_ip,dest_port,country
47.91.89.3,11,DE
8.211.49.86,9050,DE
47.251.87.199,2000,US
67.203.23.79,8081,US
47.251.87.74,4145,US
8.211.49.86,6666,DE
47.91.89.3,5060,DE
8.209.96.245,18080,DE
47.251.73.54,92,US
47.251.87.199,20000,US
47.251.87.74,5060,US
8.211.49.86,2000,DE
159.65.230.46,8888,US
8.209.96.245,8080,DE
47.251.87.199,5060,US
47.90.167.27,443,US
47.251.73.54,8080,US
47.91.89.3,1000,DE
8.211.51.115,10000,DE
47.251.73.54,9050,US
47.251.87.74,4002,US
47.252.18.37,8080,US
47.85.161.37,3128,US
47.251.74.38,808,US
47.251.74.38,80,US
8.209.96.245,8443,DE
8.211.42.167,6379,DE
8.211.42.167,41890,DE
