dest_ip,dest_port,country_code
138.68.60.8,80,US
192.73.244.36,80,US
174.138.54.65,80,US
209.97.150.167,8080,US
23.247.136.254,80,US
89.58.57.45,80,DE
140.174.52.105,8888,US
107.174.123.200,80,US
188.40.57.101,80,DE
162.238.123.152,8888,US
198.199.86.11,8080,US
47.251.43.115,33333,US
89.58.55.33,80,DE
35.197.89.213,80,US
4.156.78.45,80,US
161.35.70.249,8080,DE
23.237.210.82,80,US
143.198.147.156,2626,US
159.65.245.255,80,US
154.19.184.154,80,US
104.238.228.201,3128,US
47.91.65.23,3128,DE
154.16.146.48,80,US
154.16.146.45,80,US
142.93.202.130,3128,US
