dest_ip,dest_port,dest_country,metadata_file
89.117.145.245,3128,US,connect.txt
57.129.81.201,8080,DE,connect.txt
18.226.170.181,10888,US,connect.txt
64.181.240.152,3128,US,connect.txt
154.64.211.145,999,PR,connect.txt
38.127.172.5,24171,US,connect.txt
38.127.172.14,24171,US,connect.txt
38.127.172.80,24171,US,connect.txt
38.127.172.125,24171,US,connect.txt
38.127.172.160,24171,US,connect.txt
38.127.172.163,24171,US,connect.txt
38.127.172.223,24171,US,connect.txt
38.127.172.224,24171,US,connect.txt
38.127.172.237,24171,US,connect.txt
209.141.57.216,80,US,connect.txt
3.122.235.189,102,DE,connect.txt
163.5.128.76,24171,US,connect.txt
163.5.128.101,24171,US,connect.txt
163.5.128.121,24171,US,connect.txt
163.5.128.147,24171,US,connect.txt
163.5.128.238,24171,US,connect.txt
