dest_ip,dest_port,country_code,proxy_type
130.185.122.199,8090,DE,http
154.3.236.202,3128,US,http
209.97.150.167,3128,US,http
68.235.35.171,3128,US,http
3.216.111.113,80,US,http
162.240.154.26,3128,US,http
63.250.32.221,3128,US,http
138.68.60.8,8080,US,http
216.229.112.25,8080,US,http
104.129.203.247,10004,US,http
103.35.188.243,3128,US,http
104.129.203.247,12089,US,http
34.194.110.189,80,US,http
104.129.203.247,11405,US,http
104.129.203.247,10013,US,http
104.129.203.247,11383,US,http
104.129.203.247,10470,US,http
104.129.203.247,10541,US,http
104.129.203.247,10531,US,http
104.129.203.247,11483,US,http
104.129.203.247,33333,US,http
104.129.203.247,11697,US,http
