dest_ip,dest_port,country_code
104.129.192.156,10000,US
104.129.192.156,10007,US
104.129.192.156,10033,US
104.129.192.156,10072,US
104.129.192.156,10105,US
104.129.192.156,10115,US
104.129.192.156,10138,US
104.129.192.156,10158,US
104.129.192.156,10174,US
104.129.192.156,10181,US
104.129.192.156,10279,US
104.129.192.156,10300,US
104.129.192.156,10302,US
104.129.192.156,10315,US
104.129.192.156,10359,US
104.129.192.156,10361,US
104.129.192.156,10365,US
104.129.192.156,10368,US
104.129.192.156,10395,US
104.129.192.156,10410,US
104.129.192.156,10434,US
104.129.192.156,10454,US
104.129.192.156,10477,US
104.129.192.156,10493,US
104.129.192.156,10522,US
104.129.192.156,10527,US
104.129.192.156,10528,US
104.129.192.156,10573,US
104.129.192.156,10577,US
104.129.192.156,10609,US
104.129.192.156,10620,US
104.129.192.156,10623,US
104.129.192.156,10624,US
104.129.192.156,10625,US
104.129.192.156,10655,US
104.129.192.156,10657,US
104.129.192.156,10668,US
104.129.192.156,10673,US
104.129.192.156,10721,US
104.129.192.156,10726,US
104.129.192.156,10746,US
104.129.192.156,10829,US
104.129.192.156,10839,US
104.129.192.156,10841,US
104.129.192.156,10853,US
