alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1744030899.9642,elite,654.20574785859,1743006825.9568,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743611666,1744031308.2837,13001,http,43.130.61.237:13001,false,755.63502311707,7165,4859,59.589155023287,43.130.61.237
true,1744031307.794,elite,580.52864063943,1743704663.5042,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Los Angeles","North America",NA,"United States",US,,true,OPHL,34.0522,-118.2436,false,"Tencent cloud computing (Beijing) Co., Ltd.",false,California,success,America/Los_Angeles,,1743704664,1744031307.794,13001,http,49.51.191.97:13001,false,477.76365280151,2215,1564,58.613389785658,49.51.191.97
true,1744031307.6766,elite,639.50650786665,1743702385.3969,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743702386,1744031307.6766,13001,http,43.159.152.237:13001,false,303.93004417419,2493,1314,65.48463356974,43.159.152.237
true,1744031305.8646,elite,571.587442008,1743704799.2151,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743704800,1744031305.8646,13001,http,43.130.56.110:13001,false,475.34418106079,2485,1296,65.723353610156,43.130.56.110
true,1744031305.8232,elite,671.06197095377,1743703680.4674,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743703681,1744031305.8232,13001,http,170.106.158.82:13001,false,460.64710617065,2539,1255,66.921454928835,170.106.158.82
true,1744031305.57,elite,812.1992821565,1742762676.3364,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743972377,1744031305.57,13001,http,43.153.11.118:13001,false,751.85871124268,8131,6909,54.0625,43.153.11.118
true,1744031171.7284,elite,509.21615029881,1722099125.2841,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"Santa Clara","North America",NA,"United States",US,,true,"DigitalOcean, LLC",37.3931,-121.962,false,"DigitalOcean, LLC",true,California,success,America/Los_Angeles,95054,1743551459,1744031303.208,80,http,144.126.216.57:80,false,400.25806427002,118980,196541,37.70905898498,144.126.216.57
true,1744031302.5288,elite,765.55211619773,1742752402.5184,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743962047,1744031302.5288,13001,http,43.153.94.8:13001,false,736.43064498901,7870,7287,51.923203800224,43.153.94.8
true,1744031258.3358,elite,621.61292352534,1743003858.3505,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743608696,1744031300.9138,13001,http,43.135.153.235:13001,false,319.33236122131,6908,5158,57.251781866401,43.135.153.235
true,1744031300.5614,elite,1951.7189817257,1697037085.5451,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Chicago,"North America",NA,"United States",US,,false,"Cox Communications Inc.",41.8781,-87.6298,false,"Cox Communications",true,Illinois,success,America/Chicago,60666,1743587995,1744031300.5614,4145,socks4,184.181.217.206:4145,true,775.85339546204,136342,334765,28.940771417109,184.181.217.206
true,1744031299.3164,elite,590.95735888161,1743704098.9471,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743704099,1744031299.3164,13001,http,43.153.76.64:13001,false,316.37167930603,2594,1187,68.606188838932,43.153.76.64
true,1744031298.7957,elite,10429.445615825,1715926529.9351,"AS19318 Interserver, Inc",IS-AS-1,Secaucus,"North America",NA,"United States",US,,true,"Interserver, Inc",40.7862,-74.0743,false,"Interserver, Inc",true,"New Jersey",success,America/New_York,07094,1744005748,1744031298.7957,13892,socks4,174.138.176.76:13892,true,1274.7428417206,741,108678,0.67721328105722,174.138.176.76
true,1744031298.5644,elite,845.23928691234,1742747460.8729,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743957115,1744031298.5644,13001,http,43.153.92.57:13001,false,752.28023529053,8435,6812,55.322358496753,43.153.92.57
true,1744031297.9213,elite,7820.6822962302,1710540149.2953,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"DigitalOcean, LLC",50.1169,8.6837,false,"Digital Ocean",true,Hesse,success,Europe/Berlin,60313,1743554587,1744031297.9213,80,http,206.81.31.215:80,false,6980.5929660797,75359,423468,15.107241588767,206.81.31.215
true,1744031297.3899,elite,613.19377606283,1743744027.9606,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743744029,1744031297.3899,13001,http,43.153.79.36:13001,false,746.71173095703,1996,1351,59.635494472662,43.153.79.36
true,1744031296.4189,elite,645.14864491801,1743744703.3751,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,OPHL,37.353,-121.9544,false,"Tencent cloud computing (Beijing) Co., Ltd.",false,California,success,America/Los_Angeles,95052,1743744704,1744031296.4189,13001,http,49.51.198.19:13001,false,480.01217842102,2168,1173,64.890751272074,49.51.198.19
true,1744031086.5114,elite,605.09690192708,1743701653.2108,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743701653,1744031295.2471,13001,http,43.130.35.202:13001,false,475.71229934692,2280,1536,59.748427672956,43.130.35.202
true,1744031067.5001,elite,611.83865511937,1743704525.628,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,OPHL,37.353,-121.9544,false,"Tencent cloud computing (Beijing) Co., Ltd.",false,California,success,America/Los_Angeles,95052,1743704527,1744031295.2216,13001,http,49.51.195.196:13001,false,313.88974189758,2273,1506,60.148187351151,49.51.195.196
true,1744031294.9502,elite,725.99808581683,1742747164.9917,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743956842,1744031294.9502,13001,http,43.153.85.209:13001,false,456.24494552612,8461,6763,55.576720966894,43.153.85.209
true,1744031293.1896,elite,189.24011127481,1732983025.7761,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"North Bergen","North America",NA,"United States",US,,true,"DigitalOcean, LLC",40.7964,-74.0203,false,"DigitalOcean, LLC",true,"New Jersey",success,America/New_York,07047,1743551342,1744031293.1896,8888,http,159.65.230.46:8888,false,183.40873718262,78346,67401,53.754794266777,159.65.230.46
true,1744031292.9441,elite,665.23287748518,1743806394.4956,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Shenzhen Tencent Computer Systems Company Limited",37.3541,-121.9552,false,"Tencent Cloud Computing",false,California,success,America/Los_Angeles,,1743806395,1744031292.9441,13001,http,43.153.4.121:13001,false,747.50828742981,1666,970,63.201820940819,43.153.4.121
true,1744031223.8152,elite,630.02730146719,1743743504.283,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,"Tencent Cloud Computing (Beijing) Co",37.353,-121.9544,false,,false,California,success,America/Los_Angeles,95052,1743743505,1744031292.898,13001,http,170.106.84.182:13001,false,475.03232955933,2251,1104,67.093889716841,170.106.84.182
true,1744031292.607,elite,5728.7070348665,1743323694.8824,"AS55286 B2 Net Solutions Inc.",SERVER-MANIA,Buffalo,"North America",NA,"United States",US,,true,"B2 Net Solutions Inc.",42.8943,-78.8736,false,"ServerMania Inc",true,"New York",success,America/New_York,14202,1743928752,1744031292.607,2335,http,38.152.72.229:2335,false,9172.8708744049,616,7487,7.6021226706158,38.152.72.229
