dest_ip,dest_port,country_code,proxy_type
147.45.178.211,14658,DE,http
8.211.51.115,9080,DE,http
8.211.51.115,3128,DE,http
47.91.89.3,176,DE,http
8.209.96.245,5060,DE,http
8.211.49.86,8008,DE,http
8.211.49.86,2000,DE,http
8.209.96.245,193,DE,http
8.211.49.86,9050,DE,http
8.211.49.86,808,DE,http
47.91.89.3,11,DE,http
8.211.51.115,84,DE,http
8.211.51.115,1036,DE,http
8.211.49.86,8443,DE,http
8.211.49.86,80,DE,http
49.12.216.1,80,DE,http
8.209.96.245,9080,DE,http
47.91.65.23,3128,DE,http
141.147.9.254,80,DE,http
47.252.11.233,8080,US,http
47.252.11.233,8443,US,http
15.204.151.142,31158,US,http
47.251.87.199,80,US,http
47.89.159.212,993,US,http
47.251.74.38,1081,US,http
47.251.87.74,3128,US,http
47.254.36.213,3001,US,http
47.251.87.74,9050,US,http
47.89.159.212,8123,US,http
47.254.36.213,104,US,http
47.251.74.38,161,US,http
47.251.87.74,92,US,http
47.252.18.37,443,US,http
47.251.73.54,64,US,http
47.90.167.27,443,US,http
47.252.18.37,3129,US,http
47.251.73.54,8834,US,http
15.204.151.149,31158,US,http
47.252.18.37,1080,US,http
34.122.187.196,80,US,http
198.74.51.79,8888,US,http
47.252.11.233,84,US,http
47.90.149.238,202,US,http
47.90.149.238,5060,US,http
47.90.149.238,9098,US,http
47.252.11.233,6379,US,http
47.90.167.27,9050,US,http
154.16.146.45,80,US,http
108.161.135.118,80,US,http
47.252.29.28,11222,US,http
147.45.178.211,14658,DE,http
81.169.213.169,8888,DE,http
85.215.64.49,80,DE,http
51.81.245.3,17981,US,http
4.156.78.45,80,US,http
78.46.84.169,8080,DE,http
198.23.143.74,80,US,http
5.78.129.53,80,US,http
23.247.136.254,80,US,http
96.70.186.221,80,US,http
78.47.127.91,80,DE,http
40.76.69.94,8080,US,http
172.104.202.91,80,DE,http
141.147.9.254,80,DE,http
143.110.232.177,80,US,http
44.226.40.47,90,US,http
192.73.244.36,80,US,http
47.251.43.115,33333,US,http
93.127.215.97,80,US,http
138.199.233.152,80,DE,http
209.97.150.167,8080,US,http
198.199.86.11,8080,US,http
162.214.165.203,80,US,http
38.180.82.210,8080,US,http
89.117.145.245,3128,US,http
46.101.115.59,80,DE,http
34.122.187.196,80,US,http
161.35.70.249,8080,DE,http
202.61.204.51,80,DE,http
138.68.60.8,80,US,http
198.49.68.80,80,US,http
23.247.136.248,80,US,http
174.138.54.65,80,US,http
67.219.118.122,8080,US,http
47.90.205.231,33333,US,http
38.147.98.190,8080,US,http
172.104.155.203,3128,DE,http
192.203.0.250,999,PR,http
4.149.210.210,3128,US,http
71.121.234.208,80,US,http
